[1] 480m:0s to go...
---- Running throughput benchmarks (higher is better) ----
           OptimistAtomicQueueB2, 1,s:  83,704,431 msg/sec
           OptimistAtomicQueueB2, 1,i:  83,641,071 msg/sec
           OptimistAtomicQueueB2, 2,s:  27,008,775 msg/sec
           OptimistAtomicQueueB2, 2,i:  20,921,822 msg/sec
           OptimistAtomicQueueB2, 3,s:  28,883,424 msg/sec
           OptimistAtomicQueueB2, 3,i:  27,614,857 msg/sec
           OptimistAtomicQueueB2, 4,s:  31,032,824 msg/sec
           OptimistAtomicQueueB2, 4,i:  31,093,641 msg/sec
           OptimistAtomicQueueB2, 5,s:  33,325,419 msg/sec
           OptimistAtomicQueueB2, 5,i:  37,208,257 msg/sec
           OptimistAtomicQueueB2, 6,s:  36,417,291 msg/sec
           OptimistAtomicQueueB2, 6,i:  41,114,258 msg/sec
           OptimistAtomicQueueB2, 7,s:  39,971,260 msg/sec
           OptimistAtomicQueueB2, 7,i:  43,865,818 msg/sec
           OptimistAtomicQueueB2, 8,s:  41,793,277 msg/sec
           OptimistAtomicQueueB2, 8,i:  44,789,815 msg/sec

---- Running ping-pong benchmarks (lower is better) ----
     boost::lockfree::spsc_queue: 0.000000129 sec/round-trip
          boost::lockfree::queue: 0.000000305 sec/round-trip
                pthread_spinlock: 0.000000274 sec/round-trip
   moodycamel::ReaderWriterQueue: 0.000000129 sec/round-trip
